titulo,texto,puntuacion,fecha,usuario,timestamp_extraccion
Sin título,"He comprado un pack de canapé colchón y dos almohadas y solo me ha llegado el canapé. Luego en la app de Amazon me pone que pedido entregado al cliente,y no se encuentra la manera de reclamarle direct...Ver más",1,2025-12-19T10:17:55.000Z,CORTES VARGAS MARIA DEL SOCORR,2025-12-21 21:59:28
Sin título,Atencion al cliente de amzon cuado no les interesa las criticas te cuegan el telefono una falta de educacion himpresionante.Una prepotencia total mejor utilizar otras plataformas de compra mas seguras...Ver más,1,2025-12-17T19:39:13.000Z,JoseMa Ramon Poch,2025-12-21 21:59:28
Sin título,"Soy prime desde hace años ,antes era facil contactar con amazon si tenias u. Problema ,ahora es imposible ni llamar ni q te llamen para una solucion , e oido q con temu es muy facil habra q probar a c...Ver más",1,2025-12-10T17:36:43.000Z,Inma Marin,2025-12-21 21:59:28
Sin título,"Suscripción activada por error
La suscripción para ver Prime Video sin anuncios se activa con un solo clic y sin confirmación en dos pasos. Me suscribí por error, no utilicé el servicio y aun así se...Ver más",1,2025-12-15T12:27:17.000Z,José Luis Romero Romero,2025-12-21 21:59:28
Sin título,"Yo no compro en Amazon. Prefiero las tiendas físicas donde puedo ver y tocar los productos. Pero mi hija sí compra mucho y después de algunas experiencias de tener que devolver los productos, debo adm...Ver más",3,2025-12-03T02:54:57.000Z,Antonio,2025-12-21 21:59:28
Sin título,Tenían que hacerme una devolución y nunca la hicieron. Decían que la habían hecho a la cuenta en vez de a la tarjeta y llevo tres meses pidiéndoles el ARN o el justificante de la devolución y nunca me...Ver más,1,2025-12-13T22:13:21.000Z,Alicia,2025-12-21 21:59:28
Sin título,"Les compre un radiador que me llegó en mal estafó con pinta de usado, vinieron a recogerlo el 24 de Noviembre, estamos a 8 de diciembre y después de 50 llamadas no me hacen el reembolso de 60 euros, m...Ver más",1,2025-12-07T15:32:14.000Z,Mariluz Aramburu,2025-12-21 21:59:28
Sin título,"Intento comprar un producto. Me falla el pago por saldo insuficiente. Vuelvo a pedir el producto y pago con otra tarjeta. Me cancelan el pedido por actividad ""sospechosa"". Nadie me responde, nadie lo...Ver más",1,2025-12-02T18:48:33.000Z,Al R,2025-12-21 21:59:28
Sin título,"He comprado una tarjeta SD Kingston de 32 GB directamente en Amazon y ha fallado prematuramente, perdiendo todas mis fotos y vídeos. He sido derivado varias veces al fabricante y me han cerrado el c...Ver más",1,2025-12-09T16:35:13.000Z,David,2025-12-21 21:59:28
Sin título,"Te dicen y se comprometen en Atención al Cliente por escrito y luego ellos mismos dicen que eso no es cierto, después de mil  mensajes mareando.  Pésima experiencia y servicio al cliente, engaño y pér...Ver más",1,2025-12-12T15:05:04.000Z,Sofía Fondón,2025-12-21 21:59:28
Sin título,"Me han cobrado por duplicado una compra y no hay manera de solucionarlo.  La persona que me atendió, me dice que no ve reflejado el cobro duplicado,  siendo que el monto me lo cobraron con uno o dos d...Ver más",1,2025-12-09T13:18:01.000Z,Teresa Díaz,2025-12-21 21:59:28
Sin título,"Amazon está entrando en su decandencia!!! Viendo una peli sale la pregunta saltar anuncio , aceptas y zas has comprado una suscripción por 1’99€ , dicha suscripción solo pueden anularla ellos y ya no...Ver más",1,2025-11-16T17:50:25.000Z,Victoria,2025-12-21 21:59:28
Sin título,Amazon discrimina y roba a las personas mayores. Son unos ladrones y unos estafadores. Piden que verifiquen su cuenta Amazon a los ancianos con su DNI. Después dicen que no aceptan los DNI de las per...Ver más,1,2025-12-11T04:46:10.000Z,Women's Sports Photography Jos,2025-12-21 21:59:28
Sin título,"Pongo una estrella,porque no puedo poner cero.
Mucho ojo con amazon filtra numeros de tarjetas a terceros,posibles estafas",1,2025-12-16T18:20:55.000Z,JoseMa Ramon Poch,2025-12-21 21:59:28
Sin título,"Compré una luz de emergencia que no funciona. Hice la devolución en un centro de recogida de Repsol y dicen no les ha llegado, que reclame en Repsol. Si sus centros de recogida no son fiables no es mi...Ver más",1,2025-12-16T00:16:14.000Z,Dmtryck Again,2025-12-21 21:59:28
Sin título,"Después de esperar un tiempo por la compra de un producto, mi sorpresa es que Amazon con toda su cara dura, me dice que yo he cancelado el producto que he comprado sin explicaciones de nada de nada,y...Ver más",1,2025-11-29T09:02:43.000Z,Consumer,2025-12-21 21:59:28
